상품ID,상품명,기존ID,기존카테고리,추천ID,추천카테고리,상태
13241611160,넘버락 번호키 자물쇠 4자리 3개 세트 창고 사물함,,생활/건강>생활용품>보안용품>자물쇠/열쇠,50002709,자물쇠/열쇠,Fixed (Phase2)
13241609972,공구 드라이버 세트 17 in 1 십자 일자 별 비트 정밀 드라이버 스마트폰 수리,,생활/건강>공구>수작업공구>드라이버,50003391.0,생활/건강 > 공구 > 수작업공구 > 드라이버,Mismatch
13241609527,정밀 드라이버 세트 6P 정밀공구 수리도구,,생활/건강>공구>수작업공구>드라이버,50002668,드라이버,Fixed (Phase2)
13241609314,화분 받침 바퀴 4개 바퀴수리 이동식화분,,생활/건강>정원/원예용품>화분받침,1312080000.0,취미/도서 > 원예/식물 > 화분용품 > 화분,Mismatch
13241609100,15 in 1 스크류 드라이버 세트 십자 일자 별 교환식 간편 수리 공구 키트 전자 제품 분해 조립 등,,생활/건강>공구>수작업공구>드라이버,50021419,트렌치코트,Fixed (Phase2)
13241608422,미니 원예도구 3종 세트 화분 정원 삽 손갈퀴 가드닝도구,,생활/건강>공구>원예공구>기타원예공구,50003371,농기구,Fixed (Phase2)
13241607116,자동차 휠크리너 세차 용품 타이어 브러쉬 세트 차량용 휠 청소 도구 디테일링 세차 브러시 휠 세척 관리,,생활/건강>자동차용품>세차용품>실내세정제,50003945,실내세정제,Fixed (Phase2)
13241606906,다용도 81 드라이버 세트 가정용 공구 필수 아이템 정밀 드라이버 세트 집수리 도구 멀티 공구함 수리 공구,,생활/건강>공구>수작업공구>드라이버,50002668,드라이버,Fixed (Phase2)
13241602616,화분 식물 넝쿨 격자 지지대 2P,,생활/건강>원예/식물>플라워소품만들기,50006880,플라워소품만들기,Fixed (Phase2)
13236053138,형 배드민턴 그립 5컬러 세트 그라데이션 오버 테이프 라켓 손잡이 밴드,,스포츠/레저>배드민턴>그립,50004640,핸드그립,Fixed (Phase2)
13236043898,오토바이세차세트 극세사세차도구 오토바이세차브러쉬 바이크 세트 도구 스펀지 걸레 오토바이 용품 세차,,스포츠/레저>오토바이/스쿠터>오토바이부품>기타오토바이부품,50000244.0,화장품/미용 > 뷰티소품 > 메이크업브러쉬,Mismatch
13236043223,봄꽃화분 20x34cm 화분 타원형 이쁜화분,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
